3,13,14,16,22,28,34
1,8,15,22,31,36,26
4,13,32,34,35,36,21
4,19,21,23,24,29,12
6,8,9,16,17,34,24
6,15,17,22,26,34,23
2,3,15,22,23,31,13
9,13,22,24,26,27,34
3,7,11,16,24,30,34
3,14,17,18,24,33,32
2,7,9,20,24,26,10
4,23,24,25,27,33,14
1,18,19,20,27,30,3
8,12,14,22,25,34,36
1,4,8,14,22,25,19
6,15,17,18,28,32,10
2,7,19,23,28,32,3
13,14,19,25,32,33,11
8,23,24,29,30,31,22
2,8,12,13,25,34,15
8,13,14,18,25,31,6
3,4,15,17,21,23,29
17,19,27,29,34,35,5
8,14,19,21,23,34,4
7,14,16,27,30,34,10
2,16,25,29,33,36,6
7,14,16,19,26,29,31
6,7,14,15,17,29,28
3,9,13,15,29,35,32
4,8,11,14,23,24,34
1,10,12,18,20,21,4
5,6,9,11,25,30,33
3,5,9,12,13,15,16
6,10,20,27,30,36,14
1,3,6,15,25,26,19
3,7,25,28,31,35,12
3,13,15,26,27,33,14
5,22,25,28,29,34,27
1,5,7,20,21,35,15
4,6,9,16,23,30,36
8,14,16,26,35,36,6
10,11,12,16,20,34,30
12,14,15,25,32,36,11
9,14,16,20,32,34,29
5,8,14,25,26,35,21
12,15,20,23,30,35,14
8,19,25,28,31,34,6
6,7,13,15,16,28,1
8,16,19,29,34,35,20
3,6,14,17,18,22,33
3,4,11,15,18,31,25
11,18,20,21,23,29,5
2,13,19,23,26,34,25
15,20,33,34,35,36,10
5,6,12,18,26,32,10
21,22,23,25,30,35,1
4,9,16,23,27,30,36
7,9,14,22,24,29,28
8,13,21,24,32,33,12
7,11,12,17,29,31,28
6,8,14,24,30,36,21
3,7,10,25,26,35,19
4,6,9,10,15,30,35
11,14,16,17,23,24,36
5,8,14,19,33,35,21
11,13,14,16,29,36,18
2,4,9,21,24,26,27
1,15,20,21,24,27,30
17,20,22,23,33,36,4
9,17,18,20,26,30,23
6,8,12,16,19,25,29
1,4,5,13,20,32,14
6,13,16,17,24,31,10
4,8,9,16,22,25,6
1,12,29,32,33,34,10
6,13,14,18,21,24,9
6,9,14,19,23,34,35
5,9,12,13,26,27,18
11,20,23,28,32,36,16
14,16,20,22,30,35,19
10,11,15,22,24,25,2
2,10,15,18,20,32,31
7,8,10,24,30,35,17
12,15,19,21,22,28,26
5,19,22,23,30,36,21
8,10,15,16,24,25,30
5,18,19,21,31,33,20
9,16,24,31,32,33,29
1,8,10,11,28,33,31
4,5,14,23,26,31,13
1,8,33,34,35,36,29
4,6,11,12,21,34,31
2,6,7,21,23,25,35
2,10,19,24,30,36,5
5,11,17,19,35,36,22
6,7,13,18,25,36,20
3,5,16,22,30,36,35
4,11,12,24,28,36,31
9,18,22,23,29,31,8
1,13,17,22,26,33,20
11,13,19,32,35,36,17
1,3,10,15,18,30,21
4,10,20,24,27,28,18
6,18,19,24,35,36,12
13,18,22,27,29,34,6
2,8,17,19,21,34,14
3,6,7,25,30,33,20
6,14,15,23,24,31,33
1,6,7,17,19,24,15
7,9,17,25,27,32,10
13,16,23,28,34,36,6
5,14,16,20,22,24,12
9,18,19,20,26,28,36
2,6,14,29,34,36,21
7,8,9,10,12,25,1
2,18,22,30,35,36,28
6,12,17,24,29,36,32
2,13,16,23,30,34,8
1,5,6,9,28,32,21
1,4,5,9,12,24,10
8,15,25,29,30,36,13
2,5,7,10,12,20,8
7,11,13,23,24,32,28
7,11,12,20,29,30,32
1,4,7,16,31,34,23
