3,13,14,16,22,28
3,13,14,16,22,34
3,13,14,16,28,34
3,13,14,22,28,34
3,13,16,22,28,34
3,14,16,22,28,34
13,14,16,22,28,34
1,8,15,22,31,36
1,8,15,22,31,26
1,8,15,22,36,26
1,8,15,31,36,26
1,8,22,31,36,26
1,15,22,31,36,26
8,15,22,31,36,26
4,13,32,34,35,36
4,13,32,34,35,21
4,13,32,34,36,21
4,13,32,35,36,21
4,13,34,35,36,21
4,32,34,35,36,21
13,32,34,35,36,21
4,19,21,23,24,29
4,19,21,23,24,12
4,19,21,23,29,12
4,19,21,24,29,12
4,19,23,24,29,12
4,21,23,24,29,12
19,21,23,24,29,12
6,8,9,16,17,34
6,8,9,16,17,24
6,8,9,16,34,24
6,8,9,17,34,24
6,8,16,17,34,24
6,9,16,17,34,24
8,9,16,17,34,24
6,15,17,22,26,34
6,15,17,22,26,23
6,15,17,22,34,23
6,15,17,26,34,23
6,15,22,26,34,23
6,17,22,26,34,23
15,17,22,26,34,23
2,3,15,22,23,31
2,3,15,22,23,13
2,3,15,22,31,13
2,3,15,23,31,13
2,3,22,23,31,13
2,15,22,23,31,13
3,15,22,23,31,13
9,13,22,24,26,27
9,13,22,24,26,34
9,13,22,24,27,34
9,13,22,26,27,34
9,13,24,26,27,34
9,22,24,26,27,34
13,22,24,26,27,34
3,7,11,16,24,30
3,7,11,16,24,34
3,7,11,16,30,34
3,7,11,24,30,34
3,7,16,24,30,34
3,11,16,24,30,34
7,11,16,24,30,34
3,14,17,18,24,33
3,14,17,18,24,32
3,14,17,18,33,32
3,14,17,24,33,32
3,14,18,24,33,32
3,17,18,24,33,32
14,17,18,24,33,32
2,7,9,20,24,26
2,7,9,20,24,10
2,7,9,20,26,10
2,7,9,24,26,10
2,7,20,24,26,10
2,9,20,24,26,10
7,9,20,24,26,10
4,23,24,25,27,33
4,23,24,25,27,14
4,23,24,25,33,14
4,23,24,27,33,14
4,23,25,27,33,14
4,24,25,27,33,14
23,24,25,27,33,14
1,18,19,20,27,30
1,18,19,20,27,3
1,18,19,20,30,3
1,18,19,27,30,3
1,18,20,27,30,3
1,19,20,27,30,3
18,19,20,27,30,3
8,12,14,22,25,34
8,12,14,22,25,36
8,12,14,22,34,36
8,12,14,25,34,36
8,12,22,25,34,36
8,14,22,25,34,36
12,14,22,25,34,36
1,4,8,14,22,25
1,4,8,14,22,19
1,4,8,14,25,19
1,4,8,22,25,19
1,4,14,22,25,19
1,8,14,22,25,19
4,8,14,22,25,19
6,15,17,18,28,32
6,15,17,18,28,10
6,15,17,18,32,10
6,15,17,28,32,10
6,15,18,28,32,10
6,17,18,28,32,10
15,17,18,28,32,10
2,7,19,23,28,32
2,7,19,23,28,3
2,7,19,23,32,3
2,7,19,28,32,3
2,7,23,28,32,3
2,19,23,28,32,3
7,19,23,28,32,3
13,14,19,25,32,33
13,14,19,25,32,11
13,14,19,25,33,11
13,14,19,32,33,11
13,14,25,32,33,11
13,19,25,32,33,11
14,19,25,32,33,11
8,23,24,29,30,31
8,23,24,29,30,22
8,23,24,29,31,22
8,23,24,30,31,22
8,23,29,30,31,22
8,24,29,30,31,22
23,24,29,30,31,22
2,8,12,13,25,34
2,8,12,13,25,15
2,8,12,13,34,15
2,8,12,25,34,15
2,8,13,25,34,15
2,12,13,25,34,15
8,12,13,25,34,15
8,13,14,18,25,31
8,13,14,18,25,6
8,13,14,18,31,6
8,13,14,25,31,6
8,13,18,25,31,6
8,14,18,25,31,6
13,14,18,25,31,6
3,4,15,17,21,23
3,4,15,17,21,29
3,4,15,17,23,29
3,4,15,21,23,29
3,4,17,21,23,29
3,15,17,21,23,29
4,15,17,21,23,29
17,19,27,29,34,35
17,19,27,29,34,5
17,19,27,29,35,5
17,19,27,34,35,5
17,19,29,34,35,5
17,27,29,34,35,5
19,27,29,34,35,5
8,14,19,21,23,34
8,14,19,21,23,4
8,14,19,21,34,4
8,14,19,23,34,4
8,14,21,23,34,4
8,19,21,23,34,4
14,19,21,23,34,4
7,14,16,27,30,34
7,14,16,27,30,10
7,14,16,27,34,10
7,14,16,30,34,10
7,14,27,30,34,10
7,16,27,30,34,10
14,16,27,30,34,10
2,16,25,29,33,36
2,16,25,29,33,6
2,16,25,29,36,6
2,16,25,33,36,6
2,16,29,33,36,6
2,25,29,33,36,6
16,25,29,33,36,6
7,14,16,19,26,29
7,14,16,19,26,31
7,14,16,19,29,31
7,14,16,26,29,31
7,14,19,26,29,31
7,16,19,26,29,31
14,16,19,26,29,31
6,7,14,15,17,29
6,7,14,15,17,28
6,7,14,15,29,28
6,7,14,17,29,28
6,7,15,17,29,28
6,14,15,17,29,28
7,14,15,17,29,28
3,9,13,15,29,35
3,9,13,15,29,32
3,9,13,15,35,32
3,9,13,29,35,32
3,9,15,29,35,32
3,13,15,29,35,32
9,13,15,29,35,32
4,8,11,14,23,24
4,8,11,14,23,34
4,8,11,14,24,34
4,8,11,23,24,34
4,8,14,23,24,34
4,11,14,23,24,34
